volume_ratio_to_vx,volume_cm3_mol,volume_a3_per_formula_unit,temperature_k,pressure_gpa,pressure_standard_error_gpa,phase_state,used_in_published_eos_fit
0.4,16.28800,27.04686033,2500,258.37,0.16,nonliquid,no
0.4,16.28800,27.04686033,3000,261.91,0.13,nonliquid,no
0.4,16.28800,27.04686033,4000,273.50,0.18,nonliquid,no
0.4,16.28800,27.04686033,5000,283.24,0.19,liquid,yes
0.4,16.28800,27.04686033,6000,296.11,0.20,liquid,yes
0.5,20.36000,33.80857541,2500,104.06,0.14,nonliquid,no
0.5,20.36000,33.80857541,3000,108.54,0.20,nonliquid,no
0.5,20.36000,33.80857541,4000,116.07,0.14,liquid,yes
0.5,20.36000,33.80857541,5000,124.20,0.18,liquid,yes
0.5,20.36000,33.80857541,6000,132.21,0.10,liquid,yes
0.6,24.43200,40.57029049,2500,41.49,0.16,nonliquid,no
0.6,24.43200,40.57029049,3000,45.45,0.16,liquid,yes
0.6,24.43200,40.57029049,4000,52.77,0.12,liquid,yes
0.6,24.43200,40.57029049,5000,59.10,0.15,liquid,yes
0.6,24.43200,40.57029049,6000,65.58,0.09,liquid,yes
0.7,28.50400,47.33200557,2500,18.18,0.16,liquid,yes
0.7,28.50400,47.33200557,3000,20.21,0.13,liquid,yes
0.7,28.50400,47.33200557,4000,25.00,0.09,liquid,yes
0.7,28.50400,47.33200557,5000,29.55,0.16,liquid,yes
0.7,28.50400,47.33200557,6000,34.25,0.09,liquid,yes
0.8,32.57600,54.09372065,2500,9.06,0.12,liquid,yes
0.8,32.57600,54.09372065,3000,9.68,0.10,liquid,yes
0.8,32.57600,54.09372065,4000,12.53,0.10,liquid,yes
0.8,32.57600,54.09372065,5000,15.45,0.13,liquid,yes
0.8,32.57600,54.09372065,6000,19.16,0.08,liquid,yes
0.9,36.64800,60.85543573,2500,3.52,0.13,liquid,yes
0.9,36.64800,60.85543573,3000,3.90,0.08,liquid,yes
0.9,36.64800,60.85543573,4000,5.66,0.10,liquid,yes
0.9,36.64800,60.85543573,5000,7.79,0.13,liquid,yes
0.9,36.64800,60.85543573,6000,10.36,0.13,liquid,yes
1.0,40.72000,67.61715082,2500,1.07,0.12,liquid,yes
1.0,40.72000,67.61715082,3000,1.87,0.11,liquid,yes
1.0,40.72000,67.61715082,4000,2.69,0.08,liquid,yes
1.0,40.72000,67.61715082,5000,4.42,0.11,liquid,yes
1.0,40.72000,67.61715082,6000,6.40,0.07,liquid,yes
1.1,44.79200,74.37886590,2500,0.57,0.09,liquid,yes
1.1,44.79200,74.37886590,3000,1.10,0.12,liquid,yes
1.1,44.79200,74.37886590,4000,1.50,0.13,liquid,yes
1.1,44.79200,74.37886590,5000,2.64,0.13,liquid,yes
1.1,44.79200,74.37886590,6000,4.11,0.11,liquid,yes
1.2,48.86400,81.14058098,3000,0.32,0.08,liquid,yes
1.2,48.86400,81.14058098,4000,0.66,0.11,liquid,yes
1.2,48.86400,81.14058098,5000,1.68,0.11,liquid,yes
1.2,48.86400,81.14058098,6000,2.86,0.11,liquid,yes
1.3,52.93600,87.90229606,5000,1.30,0.11,liquid,yes
1.3,52.93600,87.90229606,6000,2.21,0.11,liquid,yes
