source_row,run,a_angstrom,a_sigma_angstrom,b_angstrom,b_sigma_angstrom,c_angstrom,c_sigma_angstrom,d_pt111_angstrom,d_pt200_angstrom,pressure_gpa,deviatoric_stress_gpa,exposure_timing,volume_a3,volume_sigma_a3,fit_included,fit_exclusion_reason
1,1,2.5982,0.0011,8.4140,0.0065,6.4043,0.0037,2.1248,1.8451,87.8,1.8,just after heating,140.006034,0.147493,1,
2,1,2.5834,0.0009,8.3478,0.0053,6.3706,0.0030,2.1146,1.8342,98.2,1.5,1 hour after heating,137.386490,0.118680,1,
3,1,2.5769,0.0014,8.3307,0.0078,6.3543,0.0044,2.1075,1.8270,105.8,0.3,just after compress,136.410178,0.175291,1,
4,1,2.5752,0.0015,8.3236,0.0088,6.3495,0.0050,2.1061,1.8255,107.4,0.2,9 hours after compress,136.101118,0.196152,1,
5,1,2.5786,0.0009,8.3356,0.0051,6.3589,0.0028,2.1098,1.8297,103.3,2.0,just after decompress,136.679330,0.113538,1,
6,1,2.5880,0.0008,8.3679,0.0047,6.3813,0.0026,2.1165,1.8343,96.2,0.7,just after decompress,138.194232,0.104976,1,
7,1,2.5926,0.0006,8.3766,0.0031,6.3922,0.0018,2.1200,1.8377,92.6,0.6,just after decompress,138.820514,0.072108,1,
8,1,2.5993,0.0004,8.4088,0.0022,6.4078,0.0013,2.1239,1.8416,88.6,0.9,just after decompress,140.055245,0.051133,1,
9,1,2.6026,0.0008,8.4212,0.0044,6.4154,0.0025,2.1254,1.8415,87.1,0.3,just after decompress,140.606419,0.101328,1,
10,1,2.6125,0.0011,8.4456,0.0064,6.4399,0.0036,2.1318,1.8451,81.0,-0.7,just after decompress,142.090791,0.146569,1,
11,1,2.6407,0.0008,8.5614,0.0047,6.5060,0.0026,2.1544,1.8666,61.3,0.2,just after decompress,147.088227,0.109367,1,
12,2,2.5968,0.0007,8.4060,0.0043,6.4016,0.0024,2.1231,1.8419,89.4,1.0,just after heating,139.738611,0.096297,1,
13,2,2.5975,0.0005,8.4041,0.0031,6.4032,0.0017,2.1238,1.8410,88.8,0.8,just after heating,139.779613,0.068990,1,
14,2,2.5969,0.0005,8.4047,0.0028,6.4027,0.0016,2.1235,1.8410,89.0,0.5,just after heating,139.746389,0.064117,1,
15,2,2.6045,0.0003,8.4257,0.0017,6.4174,0.0010,2.1279,1.8448,84.7,0.6,just after decompress,140.828147,0.039396,1,
16,2,2.6136,0.0007,8.4588,0.0038,6.4406,0.0021,2.1351,1.8496,77.9,0.5,just after decompress,142.388267,0.087758,1,
17,2,2.6153,0.0007,8.4641,0.0043,6.4445,0.0024,2.1364,1.8510,76.8,0.3,just after decompress,142.656488,0.097636,1,
18,2,2.6684,0.0027,8.6946,0.0161,6.5723,0.0088,2.1729,1.8845,47.3,1.6,just after decompress,152.481768,0.381067,1,
19,2,2.6979,0.0004,8.8414,0.0031,6.6552,0.0013,2.1762,1.8884,45.0,1.5,just after decompress,158.747904,0.067924,0,excluded by source because data below 47 GPa had broader/weaker peaks and anomalously large volumes
20,2,2.7102,0.0005,8.9090,0.0038,6.6845,0.0016,2.1893,1.8968,36.3,0.3,just after decompress,161.398401,0.084370,0,excluded by source because data below 47 GPa had broader/weaker peaks and anomalously large volumes
21,2,2.7830,0.0038,9.2550,0.0278,6.8702,0.0114,2.2455,1.9438,7.4,0.1,just after decompress,176.953440,0.653544,0,excluded by source because data below 47 GPa had broader/weaker peaks and anomalously large volumes
22,3,2.5122,0.0032,8.0442,0.0139,6.2030,0.0082,2.0634,1.7908,162.7,1.5,just after heating,125.354189,0.316029,1,
23,3,2.5132,0.0020,8.0465,0.0109,6.2072,0.0063,2.0661,1.7926,158.7,1.3,just after heating,125.524877,0.234783,1,
24,3,2.4926,0.0010,7.9831,0.0056,6.1523,0.0032,2.0494,1.7788,184.4,1.6,just after heating,122.422619,0.117651,1,
25,3,2.4820,0.0014,7.9497,0.0060,6.1288,0.0035,2.0422,1.7731,196.3,1.8,just after compress,120.928305,0.133237,1,
